window_start,window_end,anomaly_score,anchor_period
2022-01-17 12:36:37,2022-01-17 13:06:37,0.9064,baseline
2022-01-18 02:36:37,2022-01-18 03:06:37,0.5844,baseline
2022-01-18 02:51:37,2022-01-18 03:21:37,0.5088,baseline
2022-01-19 12:21:37,2022-01-19 12:51:37,0.1164,baseline
2022-01-19 12:36:37,2022-01-19 13:06:37,0.0977,baseline
2022-01-20 12:51:37,2022-01-20 13:21:37,0.1289,baseline
2022-01-20 13:06:37,2022-01-20 13:36:37,0.1187,baseline
2022-01-21 11:51:37,2022-01-21 12:21:37,0.4205,baseline
2022-01-21 12:06:37,2022-01-21 12:36:37,0.2314,baseline
2022-01-21 15:51:37,2022-01-21 16:21:37,0.0644,baseline
2022-01-25 18:36:37,2022-01-25 19:06:37,0.0559,baseline
2022-01-25 18:51:37,2022-01-25 19:21:37,0.0547,baseline
2022-01-29 18:36:37,2022-01-29 19:06:37,0.0805,baseline
2022-01-29 18:51:37,2022-01-29 19:21:37,0.0804,baseline
2022-01-30 11:36:37,2022-01-30 12:06:37,0.1108,baseline
2022-01-30 11:51:37,2022-01-30 12:21:37,0.1006,baseline
2022-01-31 02:36:37,2022-01-31 03:06:37,0.2184,baseline
2022-01-31 02:51:37,2022-01-31 03:21:37,0.2143,baseline
2022-01-31 11:06:37,2022-01-31 11:36:37,0.0506,baseline
2022-02-01 22:36:37,2022-02-01 23:06:37,0.3972,baseline
2022-02-01 22:51:37,2022-02-01 23:21:37,0.3884,baseline
2022-02-02 10:51:37,2022-02-02 11:21:37,0.095,baseline
2022-02-02 11:06:37,2022-02-02 11:36:37,0.0952,baseline
2022-02-04 22:36:37,2022-02-04 23:06:37,0.4358,baseline
2022-02-04 22:51:37,2022-02-04 23:21:37,0.4418,baseline
2022-02-05 03:06:37,2022-02-05 03:36:37,0.0472,baseline
2022-02-05 03:21:37,2022-02-05 03:51:37,0.0529,baseline
2022-02-07 12:21:37,2022-02-07 12:51:37,0.064,baseline
2022-02-09 11:36:37,2022-02-09 12:06:37,0.7722,baseline
2022-02-10 09:51:37,2022-02-10 10:21:37,0.2017,baseline
2022-02-11 10:36:37,2022-02-11 11:06:37,0.9427,baseline
2022-02-11 10:51:37,2022-02-11 11:21:37,0.9898,baseline
2022-02-16 16:21:37,2022-02-16 16:51:37,0.064,baseline
2022-02-16 16:36:37,2022-02-16 17:06:37,0.0725,baseline
2022-02-17 11:36:37,2022-02-17 12:06:37,0.0716,baseline
2022-02-17 11:51:37,2022-02-17 12:21:37,0.102,baseline
2022-02-19 14:06:37,2022-02-19 14:36:37,0.0418,baseline
2022-02-23 10:51:37,2022-02-23 11:21:37,0.3211,baseline
2022-02-24 11:36:37,2022-02-24 12:06:37,0.0479,baseline
2022-02-24 11:51:37,2022-02-24 12:21:37,0.0509,baseline
2022-02-25 10:36:37,2022-02-25 11:06:37,0.3159,baseline
2022-02-25 21:51:37,2022-02-25 22:21:37,0.1156,baseline
2022-02-25 22:06:37,2022-02-25 22:36:37,0.1131,baseline
2022-02-26 10:21:37,2022-02-26 10:51:37,0.059,baseline
2022-02-27 13:51:37,2022-02-27 14:21:37,0.1253,baseline
2022-02-28 02:06:37,2022-02-28 02:36:37,0.0679,baseline
2022-03-06 13:06:37,2022-03-06 13:36:37,0.0691,baseline
2022-03-06 22:21:37,2022-03-06 22:51:37,0.107,baseline
2022-03-07 11:21:37,2022-03-07 11:51:37,0.3131,baseline
2022-03-08 11:51:37,2022-03-08 12:21:37,0.0614,baseline
2022-03-09 11:21:37,2022-03-09 11:51:37,0.4373,baseline
2022-03-09 11:36:37,2022-03-09 12:06:37,0.3503,baseline
2022-03-10 16:06:37,2022-03-10 16:36:37,0.085,baseline
2022-03-14 12:06:37,2022-03-14 12:36:37,0.7535,baseline
2022-03-14 12:21:37,2022-03-14 12:51:37,0.4122,baseline
2022-03-15 14:21:37,2022-03-15 14:51:37,0.9269,baseline
2022-03-18 11:21:37,2022-03-18 11:51:37,0.0692,baseline
2022-03-18 11:36:37,2022-03-18 12:06:37,0.0971,baseline
2022-03-18 14:36:37,2022-03-18 15:06:37,0.1375,baseline
2022-03-19 02:36:37,2022-03-19 03:06:37,0.0604,baseline
2022-03-21 02:36:37,2022-03-21 03:06:37,0.3162,baseline
2022-03-21 12:21:37,2022-03-21 12:51:37,0.2768,baseline
2022-03-21 12:36:37,2022-03-21 13:06:37,0.2003,baseline
2022-03-25 11:21:37,2022-03-25 11:51:37,0.7843,baseline
2022-03-25 11:36:37,2022-03-25 12:06:37,0.7142,baseline
2022-03-30 03:06:37,2022-03-30 03:36:37,0.0835,baseline
2022-03-30 03:21:37,2022-03-30 03:51:37,0.0785,baseline
2022-03-31 08:36:37,2022-03-31 09:06:37,0.2535,baseline
2022-03-31 12:06:37,2022-03-31 12:36:37,0.1353,baseline
2022-03-31 15:06:37,2022-03-31 15:36:37,0.0709,baseline
2022-04-02 15:36:37,2022-04-02 16:06:37,0.0863,baseline
2022-04-03 15:21:37,2022-04-03 15:51:37,0.06,baseline
2022-04-03 15:36:37,2022-04-03 16:06:37,0.0654,baseline
2022-04-08 07:06:37,2022-04-08 07:36:37,0.1032,baseline
2022-04-09 11:51:37,2022-04-09 12:21:37,0.1655,baseline
2022-04-12 13:06:37,2022-04-12 13:36:37,0.9235,baseline
2022-04-12 13:21:37,2022-04-12 13:51:37,0.9098,baseline
2022-04-17 04:06:37,2022-04-17 04:36:37,0.1301,baseline
2022-04-18 09:36:37,2022-04-18 10:06:37,0.9473,baseline
2022-04-18 09:51:37,2022-04-18 10:21:37,0.9619,baseline
2022-04-19 11:06:37,2022-04-19 11:36:37,0.2098,baseline
2022-04-20 11:36:37,2022-04-20 12:06:37,0.9761,baseline
2022-04-21 11:36:37,2022-04-21 12:06:37,0.2648,baseline
2022-04-21 11:51:37,2022-04-21 12:21:37,0.2202,baseline
2022-04-22 11:21:37,2022-04-22 11:51:37,0.1737,baseline
